,plant_name,CEMS,meanMonthlyEmission,hoursWithData,hoursWithNoData,standard,emission_exceedance,revised_exceedance,charge_for_data,charge_for_nodata
103,"HINDALCO Ltd., FRP Plant",CEMS-3,7.436331514,661,59,50,-42.56366849,0,0,503919
104,"HINDALCO Ltd.,Captive Power Plant",CEMS-2,77.40660097,691,29,50,27.40660097,27.40660097,170441.6514,247689
105,"HINDALCO Ltd.,Captive Power Plant",CEMS-3,68.33404273,691,29,50,18.33404273,18.33404273,114019.4118,247689
106,"HINDALCO Ltd.,Captive Power Plant",CEMS-4,67.08766771,692,28,50,17.08766771,17.08766771,106421.9945,239148
107,"HINDALCO Ltd.,Captive Power Plant",CEMS-5,43.47496223,692,28,50,-6.52503777,0,0,239148
108,"HINDALCO Ltd.,Smelter Plant",CEMS-1,4.149794856,650,70,100,-95.85020514,0,0,566370
109,"HINDALCO Ltd.,Smelter Plant",CEMS-2,11.72163378,649,71,100,-88.27836622,0,0,574461
110,"HINDALCO Ltd.,Smelter Plant",CEMS-3,3.835638988,661,59,100,-96.16436101,0,0,477369
111,"HINDALCO Ltd.,Smelter Plant",CEMS-4,1.321578263,664,56,100,-98.67842174,0,0,453096
112,"HINDALCO Ltd.,Smelter Plant",CEMS-5,6.131913707,667,53,100,-93.86808629,0,0,428823
113,Indian Farmers Fertilizer Coperative Ltd,CEMS-6,76.18605539,512,208,100,-23.81394461,0,0,1682928
114,Indian Metal and Ferro Alloys Ltd,CEMS-5,187.5,4,716,100,87.5,87.5,3150,5793156
115,Indian Metal and Ferro Alloys Ltd,CEMS-6,31.27707364,527,193,100,-68.72292636,0,0,1561563
116,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),CEMS-1,41.44307352,584,136,50,-8.556926478,0,0,1161576
117,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),CEMS-2,53.28469656,555,165,50,3.284696556,3.284696556,16407.0593,1409265
118,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-1,2.223113254,600,120,100,-97.77688675,0,0,970920
119,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-2,58.75031513,600,120,100,-41.24968487,0,0,970920
120,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-3,51.66311726,576,144,100,-48.33688274,0,0,1165104
121,Indian Oil Corpation Limited,CEMS-1,12.42627091,569,151,100,-87.57372909,0,0,1221741
122,Indian Oil Corpation Limited,CEMS-11,1.2693767,493,227,100,-98.7306233,0,0,1836657
123,Indian Oil Corpation Limited,CEMS-12,1.076035065,469,251,100,-98.92396493,0,0,2030841
124,Indian Oil Corpation Limited,CEMS-13,3.170248834,569,151,100,-96.82975117,0,0,1221741
125,Indian Oil Corpation Limited,CEMS-14,2.083131082,570,150,100,-97.91686892,0,0,1213650
126,Indian Oil Corpation Limited,CEMS-15,3.59049866,416,304,100,-96.40950134,0,0,2459664
127,Indian Oil Corpation Limited,CEMS-16,0.420671073,565,155,100,-99.57932893,0,0,1254105
128,Indian Oil Corpation Limited,CEMS-17,10.5058922,450,270,100,-89.4941078,0,0,2184570
129,Indian Oil Corpation Limited,CEMS-18,1.049603774,138,582,100,-98.95039623,0,0,4708962
130,Indian Oil Corpation Limited,CEMS-19,0.991422803,567,153,100,-99.0085772,0,0,1237923
131,Indian Oil Corpation Limited,CEMS-2,0.624035774,234,486,100,-99.37596423,0,0,3932226
132,Indian Oil Corpation Limited,CEMS-21,2.230516495,371,349,100,-97.7694835,0,0,2823759
133,Indian Oil Corpation Limited,CEMS-22,1.593764107,500,220,100,-98.40623589,0,0,1780020
134,Indian Oil Corpation Limited,CEMS-3,0.271881886,571,149,100,-99.72811811,0,0,1205559
135,Indian Oil Corpation Limited,CEMS-4,0.2066398,550,170,100,-99.7933602,0,0,1375470
136,Indian Oil Corpation Limited,CEMS-5,0.415910408,553,167,100,-99.58408959,0,0,1351197
137,Indian Oil Corpation Limited,CEMS-6,0.99933939,567,153,100,-99.00066061,0,0,1237923
138,Indian Oil Corpation Limited,CEMS-7,29.84283493,472,248,100,-70.15716507,0,0,2006568
139,Indian Oil Corpation Limited,CEMS-9,35.45887399,87,633,100,-64.54112601,0,0,5121603
140,JK Paper LTD,CEMS-1,33.13342386,572,148,50,-16.86657614,0,0,1264068
