,plant_name,CEMS,pollution_charge
128,Indian Oil Corpation Limited,CEMS-17,2184570.0
129,Indian Oil Corpation Limited,CEMS-18,4708962.0
130,Indian Oil Corpation Limited,CEMS-19,1237923.0
131,Indian Oil Corpation Limited,CEMS-2,3932226.0
132,Indian Oil Corpation Limited,CEMS-21,2823759.0
133,Indian Oil Corpation Limited,CEMS-22,1780020.0
134,Indian Oil Corpation Limited,CEMS-3,1205559.0
135,Indian Oil Corpation Limited,CEMS-4,1375470.0
136,Indian Oil Corpation Limited,CEMS-5,1351197.0
137,Indian Oil Corpation Limited,CEMS-6,1237923.0
138,Indian Oil Corpation Limited,CEMS-7,2006568.0
139,Indian Oil Corpation Limited,CEMS-9,5121603.0
140,JK Paper LTD,CEMS-1,1266429.0304568983
141,JK Paper LTD,CEMS-2,1272609.0
142,JK Paper LTD,CEMS-3,4407637.327096096
143,Jai Balaji Jyoti Steels Limited,CEMS-1,1788111.0
144,Jai Balaji Jyoti Steels Limited,CEMS-2,590643.0
145,Jay Jagannath Steel and Power Limited,CEMS-1,3924219.33
146,Jay Jagannath Steel and Power Limited,CEMS-2,4045500.0
147,Jindal India Thermal Power Ltd,CEMS-1,3835134.0
148,Jindal India Thermal Power Ltd,CEMS-2,1642473.0
149,Jindal Stainless Ltd,CEMS-1,1577745.0
150,Jindal Stainless Ltd,CEMS-3,1553472.0
151,Jindal Stainless Ltd,CEMS-4,1553472.0
152,Jindal Stainless Ltd,CEMS-5,1246014.0
153,Jindal Stainless Ltd,CEMS-6,1270287.0
154,Jindal Stainless Ltd,CEMS-7,1310742.0
155,Jindal Stainless Ltd,CEMS-8,1650564.0
156,Jindal Steel and Power Limited,CEMS-1,1118871.0
157,Jindal Steel and Power Limited,CEMS-10,1043739.0
158,Jindal Steel and Power Limited,CEMS-12,1132740.0
159,Jindal Steel and Power Limited,CEMS-15,4296321.0
160,Jindal Steel and Power Limited,CEMS-2,2365857.0
161,Jindal Steel and Power Limited,CEMS-21,5295420.0
162,Jindal Steel and Power Limited,CEMS-22,3624768.0
163,Jindal Steel and Power Limited,CEMS-23,1482180.4531668327
164,Jindal Steel and Power Limited,CEMS-25,1577745.0
165,Jindal Steel and Power Limited,CEMS-26,1585836.0
166,Jindal Steel and Power Limited,CEMS-27,1593927.0
167,Jindal Steel and Power Limited,CEMS-28,1676552.2029473681
168,Jindal Steel and Power Limited,CEMS-29,1569654.0
169,Jindal Steel and Power Limited,CEMS-3,1127412.0
170,Jindal Steel and Power Limited,CEMS-30,1577745.0
171,Jindal Steel and Power Limited,CEMS-33,1569654.0
172,Jindal Steel and Power Limited,CEMS-34,1642473.0
173,Jindal Steel and Power Limited,CEMS-35,1593927.0
174,Jindal Steel and Power Limited,CEMS-36,1585836.0
175,Jindal Steel and Power Limited,CEMS-37,1569654.0
176,Jindal Steel and Power Limited,CEMS-4,2693524.653815887
177,Jindal Steel and Power Limited,CEMS-5,1597167.0
178,Jindal Steel and Power Limited,CEMS-6,1199922.7499350654
179,Jindal Steel and Power Limited,CEMS-7,1145148.89246035
180,Jindal Steel and Power Limited,CEMS-8,1127412.0
181,Jindal Steel and Power Ltd,CEMS-1,1254105.0
182,Jindal Steel and Power Ltd,CEMS-2,1278378.0
183,Kamal Jeet Singh Ahluwalia,CEMS-1,1432107.0
184,Kamal Jeet Singh Ahluwalia,CEMS-2,1440198.0
185,Kamal Jeet Singh Ahluwalia,Stack-3,1725685.1734514155
186,Kapilas Cement Manufacturing Works (A unit of OCL India Ltd),CEMS-1,1656954.0
187,Karakola Sponge Iron Ltd.,CEMS-1,1281356.3564003594
188,Karakola Sponge Iron Ltd.,CEMS-2,1405121.4886481562
189,Kaushal Ferrometals Pvt. Ltd.,CEMS-1,768645.0
190,Khedaria Ispat Ltd.,CEMS-1,1707827.3824836386
191,L N Metallics Ltd,CEMS-1,2006568.0
192,MGM Minerals Limited (Steel Division),CEMS-1,1105368.424426823
193,MSP Sponge Iron Limited,CEMS-1,4951692.0
194,MSP Sponge Iron Limited,CEMS-2,5170149.0
195,MSP Sponge Iron Limited,CEMS-3,4944326.4
196,Maa Shakumbari Sponge Pvt. Ltd.,CEMS-1,1771168.0350000001
197,Mahakali Ispat Pvt. Ltd,CEMS-1,3705678.0
198,Maithan Ispat Limited,CEMS-1,1278378.0
199,Maithan Ispat Limited,CEMS-2,1257099.9785245988
200,Mayur Electro Ceramics Pvt. Ltd.,CEMS-1,4984056.0
201,Mayur Electro Ceramics Pvt. Ltd.,CEMS-2,5530242.881583666
202,Meta Sponge Pvt. Ltd.,CEMS-1,1276818.9037456878
203,Mideast Integrated Steels Ltd.,CEMS-1,1955624.1666039017
204,Mideast Integrated Steels Ltd.,CEMS-2,1561563.0
205,Mideast Integrated Steels Ltd.,CEMS-3,1569654.0
206,N. K. Bhojani Pvt. Ltd.,CEMS-1,2967019.2575966907
207,"NALCO Ltd.,Captive Power Plant",CEMS-1,1367415.6496457518
208,"NALCO Ltd.,Captive Power Plant",CEMS-10,1116759.4345054943
209,"NALCO Ltd.,Captive Power Plant",CEMS-2,2265480.0
210,"NALCO Ltd.,Captive Power Plant",CEMS-3,1383561.0
