,plant_name,CEMS,meanEmission,withData,noData
227,"NALCO Ltd.,Smelter Plant",CEMS-5,11.244395501405787,379,341
228,"NALCO Ltd.,Smelter Plant",CEMS-6,26.83832024432812,413,307
229,"NALCO Ltd.,Smelter Plant",CEMS-7,37.15493856520039,555,165
230,"NALCO Ltd.,Smelter Plant",CEMS-8,20.631702544031324,512,208
231,"NALCO Ltd.,Smelter Plant",CEMS-9,14.657627462340708,535,185
232,NTPC Limited (TSTPS),CEMS-3,64.99500290191529,590,130
233,NTPC Limited (TSTPS),CEMS-5,37.80548298249044,589,131
234,NTPC Limited (TSTPS),CEMS-6,46.528982232522054,590,130
235,NTPC Limited (TTPS),CEMS-4,61.45367278468515,578,142
236,NTPC Limited (TTPS),CEMS-6,54.11054256485177,591,129
237,NTPC Limited (TTPS),UNIT-1,52.57300485575564,595,125
238,Narbheram Power and Steel Pvt. Ltd.,CEMS-1,44.86077796206576,608,112
239,Nava Bharat Ventures Ltd,CEMS-1,33.313169398906425,155,565
240,Nava Bharat Ventures Ltd,CEMS-2,15.04789782886357,598,122
241,Neelachal Ispat Nigam Limited,CEMS-3,3.9124666666666204,227,493
242,Neelachal Ispat Nigam Limited,CEMS-4,26.189105263157895,103,617
243,"OCL India Ltd,Cement Unit",CEMS--9,12.142676232665805,521,199
244,"OCL India Ltd,Cement Unit",CEMS-1,15.598059192580575,522,198
245,"OCL India Ltd,Cement Unit",CEMS-10,16.28648091310302,519,201
246,"OCL India Ltd,Cement Unit",CEMS-2,9.780643794423156,521,199
247,"OCL India Ltd,Cement Unit",CEMS-3,9.681131557264441,521,199
248,"OCL India Ltd,Cement Unit",CEMS-4,4.47723800330944,521,199
249,"OCL India Ltd,Cement Unit",CEMS-5,14.413215175851535,520,200
250,"OCL India Ltd,Cement Unit",CEMS-6,14.741549295774714,521,199
251,"OCL India Ltd,Cement Unit",CEMS-7,15.319668729176637,520,200
252,"OCL India Ltd,Cement Unit",CEMS-8,5.020737681018478,520,200
253,Odisha Power Generation Corporation LTD,CEMS-1,84.53890875191861,575,145
254,Odisha Power Generation Corporation LTD,CEMS-2,86.40867183352793,646,74
255,Patnaik Minerals Pvt. Ltd.,CEMS-1,0.0,526,194
256,Patnaik Minerals Pvt. Ltd.,CEMS-2,0.0,180,540
257,Patnaik Steels and Alloys Ltd.,CEMS-1,58.89071306887322,567,153
258,Penguine Trading and Agencies Ltd(Seven Star),CEMS-1,87.02675280898865,281,439
259,Penguine Trading and Agencies Ltd(Seven Star),CEMS-2,127.75679079956,281,439
260,Pooja Sponge Pvt. Ltd.,CEMS-1,24.27729249581175,526,194
261,Pooja Sponge Pvt. Ltd.,CEMS-2,211.0,2,718
262,R. B. Sponge Pvt. Ltd.,CEMS-1,38.229797487421855,491,229
263,Reliable Sponge Pvt. Ltd. (Bonai Unit),CEMS-1,8.645614292443314,671,49
264,Reliable Sponge Pvt. Ltd.(KALUNGA),CEMS-1,20.92736359075147,527,193
265,Rexon Strips Ltd.,CEMS-1,21.97722751733785,662,58
266,Rourkela Steel Plant,CEMS-1,34.633322243786694,595,125
267,Rourkela Steel Plant,CEMS-10,28.738942700634926,652,68
268,Rourkela Steel Plant,CEMS-11,40.91778988798061,198,522
269,Rourkela Steel Plant,CEMS-12,12.585198975390457,617,103
270,Rourkela Steel Plant,CEMS-13,48.607881668442346,675,45
271,Rourkela Steel Plant,CEMS-14,48.4523401988634,145,575
272,Rourkela Steel Plant,CEMS-15,54.28065177793585,675,45
273,Rourkela Steel Plant,CEMS-16,68.95657241777306,659,61
274,Rourkela Steel Plant,CEMS-17,26.711073053892505,675,45
275,Rourkela Steel Plant,CEMS-18,41.951741950609666,676,44
276,Rourkela Steel Plant,CEMS-19,48.997416466827474,675,45
277,Rourkela Steel Plant,CEMS-2,41.65904011224793,675,45
278,Rourkela Steel Plant,CEMS-20,10.97835576073073,544,176
279,Rourkela Steel Plant,CEMS-3,12.689311793214362,675,45
280,Rourkela Steel Plant,CEMS-4,46.215726270768556,675,45
281,Rourkela Steel Plant,CEMS-5,26.13754887465103,674,46
282,Rourkela Steel Plant,CEMS-6,26.292035465871695,495,225
283,Rourkela Steel Plant,CEMS-7,31.15704534755993,673,47
284,Rourkela Steel Plant,CEMS-8,24.913664055700558,674,46
285,Rourkela Steel Plant,CEMS-9,14.943124210526484,263,457
286,Rungta Mines Limited,CEMS-1,57.0690703161871,527,193
287,Rungta Mines Limited,CEMS-2,50.26064661994103,550,170
288,Rungta Mines Limited,CEMS-3,32.63200823643414,533,187
289,Rungta Mines Limited,CEMS-4,40.14167997097237,634,86
290,Rungta Mines Limited,CEMS-5,33.61030398832679,469,251
291,SMC Power Generation Limited,CEMS-2,89.63529254557638,526,194
292,Sakthi Sugars Limited,CEMS-1,67.96362944162426,103,617
293,Sakthi Sugars Limited (Distillery),CEMS-1,0.26850132625994716,420,300
294,Samaleswari Ferro Metals Ltd,CEMS-1,416.1660183591502,220,500
295,Scan Steels Limited (Unit-2),CEMS-1,25.470875313426145,498,222
296,Scan Steels Limited (Unit-2),CEMS-2,54.717765632943554,482,238
297,Scan Steels Limited (Unit-2),CEMS-3,88.29085606060629,477,243
298,Scan Steels Limited (Unit-I),CEMS-1,35.461731073804195,577,143
299,Seeta Integrated Steel and Energy Ltd.,CEMS-1,3.7471242666287843,525,195
300,Seeta Integrated Steel and Energy Ltd.,CEMS-2,1.0018758000684027,572,148
301,Sesa Sterlite Ltd (IPP),CEMS-2,7.75599281791314,382,338
302,Sesa Sterlite Ltd (IPP),CEMS-3,42.68515885947113,402,318
303,Sesa Sterlite Ltd (IPP),CEMS-4,35.5778167529227,512,208
304,Sesa Sterlite Ltd (Smelter and CPP),CEMS-10,4.165730960581718,430,290
305,Sesa Sterlite Ltd (Smelter and CPP),CEMS-11,2.67820194465222,662,58
306,Sesa Sterlite Ltd (Smelter and CPP),CEMS-12,2.9751888584089348,380,340
307,Sesa Sterlite Ltd (Smelter and CPP),CEMS-13,2.0079064258216985,664,56
308,Sesa Sterlite Ltd (Smelter and CPP),CEMS-14,0.5913405681455445,585,135
309,Sesa Sterlite Ltd (Smelter and CPP),CEMS-15,6.33874140752865,580,140
310,Sesa Sterlite Ltd (Smelter and CPP),CEMS-16,10.234,5,715
311,Sesa Sterlite Ltd (Smelter and CPP),CEMS-17,8.335708661417327,59,661
312,Sesa Sterlite Ltd (Smelter and CPP),CEMS-18,7.15,2,718
313,Sesa Sterlite Ltd (Smelter and CPP),CEMS-2,5.960239901578938,415,305
314,Sesa Sterlite Ltd (Smelter and CPP),CEMS-20,5.77809782608696,37,683
315,Sesa Sterlite Ltd (Smelter and CPP),CEMS-21,9.794730964467007,186,534
316,Sesa Sterlite Ltd (Smelter and CPP),CEMS-22,11.891830687830693,188,532
317,Sesa Sterlite Ltd (Smelter and CPP),CEMS-29,13.668787878787874,35,685
318,Sesa Sterlite Ltd (Smelter and CPP),CEMS-3,21.831579551981562,464,256
319,Sesa Sterlite Ltd (Smelter and CPP),CEMS-4,32.963624431220474,533,187
320,Sesa Sterlite Ltd (Smelter and CPP),CEMS-5,35.536697031040305,567,153
321,Sesa Sterlite Ltd (Smelter and CPP),CEMS-6,40.28507887517085,537,183
322,Sesa Sterlite Ltd (Smelter and CPP),CEMS-7,42.43005807994506,543,177
323,Sesa Sterlite Ltd (Smelter and CPP),CEMS-8,20.46466401796518,536,184
324,Sesa Sterlite Ltd (Smelter and CPP),CEMS-9,29.922377715138364,540,180
325,Sesa Sterlite Ltd (Smelter and CPP),CPP,19.054820143884882,31,689
326,Shiv Mettalicks (P) Ltd,CEMS-2,53.23767981545425,598,122
327,Shiva Cement Ltd.,CEMS-1,15.229035454809559,178,542
328,Shiva Cement Ltd.,stack-2,20.10068855974233,526,194
329,Shiva Cement Ltd.,stack-3,18.23260043272414,192,528
330,Shiva Cement Ltd.,stack-4,0.0,2,718
331,Shree Ganesh Metalics(Kuarmunda),CEMS-3,47.162941319428974,671,49
332,Shree Hari Sponge Pvt. Ltd.,CEMS-1,66.80983530584433,448,272
333,Shri Hardev Steels Pvt. Ltd,CEMS-1,30.49113584930702,524,196
334,Shri Jagannath Steels and Power Ltd.,CEMS-2,0.08182622268470456,562,158
335,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-1,26.379790365197888,672,48
336,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-2,1.0,309,411
337,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-3,36.05316948898667,525,195
338,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-4,30.23958988430766,331,389
339,Shyam Metalics and Energy Ltd,CEMS-2,24.843596042306313,428,292
340,Shyam Metalics and Energy Ltd,CEMS-3,6.743749238269327,664,56
341,Shyam Metalics and Energy Ltd,CEMS-4,6.2912811059908025,668,52
342,Shyam Metalics and Energy Ltd,CEMS-6,12.446164087202423,622,98
343,Shyam Metalics and Energy Ltd,CEMS-7,8.96444874600229,621,99
344,Shyam Metalics and Energy Ltd,CEMS-8,5.187594099694865,622,98
345,Shyam Metalics and Energy Ltd,CEMS-9,55.656095269490805,576,144
346,Sponge Udyog Pvt. Ltd.,CEMS-1,19.84303938084765,669,51
347,Sree Metaliks Ltd,CEMS-1,55.400249768310886,564,156
348,Sree Metaliks Ltd,CEMS-2,29.50758525571131,505,215
349,Sree Metaliks Ltd,CEMS-4,330.7888888888889,5,715
350,Sree Metaliks Ltd,CEMS-5,810981.237592397,32,688
351,Sri Balaji Metallics Pvt. Ltd.,CEMS-1,44.508128911850584,395,325
352,Sumrit Metaliks Pvt. Ltd.,CEMS-1,81.69170875873209,474,246
353,Suraj Products Pvt. Ltd.,CEMS - 2,45.86218179693782,388,332
354,Suraj Products Pvt. Ltd.,CEMS-1,23.523922277767046,642,78
355,Surendra Mining Industries (P) Ltd.,CEMS-1,223.61180327868817,122,598
356,Surendra Mining Industries (P) Ltd.,CEMS-2,49.08189717477014,593,127
357,Swastik Ispat Pvt. Ltd.,CEMS-1,22.370832640042458,442,278
358,Swastik Ispat Pvt. Ltd.,CEMS-2,1.0,471,249
359,TATA STEEL KALINGANAGAR,CEMS-,15.087880763856527,566,154
360,TATA STEEL KALINGANAGAR,CEMS-1,31.159815048339894,553,167
361,TATA STEEL KALINGANAGAR,CEMS-10,30.315539959248355,551,169
362,TATA STEEL KALINGANAGAR,CEMS-11,11.455567567567567,60,660
363,TATA STEEL KALINGANAGAR,CEMS-13,2.970296064729658,567,153
364,TATA STEEL KALINGANAGAR,CEMS-14,1.280386740331472,566,154
365,TATA STEEL KALINGANAGAR,CEMS-15,6.1304716073147185,416,304
366,TATA STEEL KALINGANAGAR,CEMS-16,7.3469634146341365,557,163
367,TATA STEEL KALINGANAGAR,CEMS-2,2.1483452176053013,404,316
368,TATA STEEL KALINGANAGAR,CEMS-3,41.76717754172993,565,155
